Opcode,QTYPE,query_type
0,0,Query Reserved
0,1,Query A
0,2,Query NS
0,3,Query MD
0,4,Query MF
0,5,Query CNAME
0,6,Query SOA
0,7,Query MB
0,8,Query MG
0,9,Query MR
0,10,Query NULL
0,11,Query WKS
0,12,Query PTR
0,13,Query HINFO
0,14,Query MINFO
0,15,Query MX
0,16,Query TXT
0,17,Query RP
0,18,Query AFSDB
0,19,Query X25
0,20,Query ISDN
0,21,Query RT
0,22,Query NSAP
0,23,Query NSAP-PTR
0,24,Query SIG
0,25,Query KEY
0,26,Query PX
0,27,Query GPOS
0,28,Query AAAA
0,29,Query LOC
0,30,Query NXT
0,31,Query EID
0,32,Query NIMLOC
0,33,Query SRV
0,34,Query ATMA
0,35,Query NAPTR
0,36,Query KX
0,37,Query CERT
0,38,Query A6
0,39,Query DNAME
0,40,Query SINK
0,41,Query OPT
0,42,Query APL
0,43,Query DS
0,44,Query SSHFP
0,45,Query IPSECKEY
0,46,Query RRSIG
0,47,Query NSEC
0,48,Query DNSKEY
0,49,Query DHCID
0,50,Query NSEC3
0,51,Query NSEC3PARAM
0,52,Query TLSA
0,53,Query SMIMEA
0,55,Query HIP
0,56,Query NINFO
0,57,Query RKEY
0,58,Query TALINK
0,59,Query CDS
0,60,Query CDNSKEY
0,61,Query OPENPGPKEY
0,62,Query CSYNC
0,63,Query ZONEMD
0,64,Query SVCB
0,65,Query HTTPS
0,66,Query DSYNC
0,67,Query HHIT
0,68,Query BRID
0,99,Query SPF
0,100,Query UINFO
0,101,Query UID
0,102,Query GID
0,103,Query UNSPEC
0,104,Query NID
0,105,Query L32
0,106,Query L64
0,107,Query LP
0,108,Query EUI48
0,109,Query EUI64
0,128,Query NXNAME
0,249,Query TKEY
0,250,Query TSIG
0,251,Query IXFR
0,252,Query AXFR
0,253,Query MAILB
0,254,Query MAILA
0,255,Query *
0,256,Query URI
0,257,Query CAA
0,258,Query AVC
0,259,Query DOA
0,260,Query AMTRELAY
0,261,Query RESINFO
