dest_port,transport,app
80,tcp,http
23,tcp,telnet
443,tcp,https
21,tcp,ftp
22,tcp,ssh
25,tcp,smtp
3389,tcp,ms-wbt-server
110,tcp,pop3
445,tcp,microsoft-ds
139,tcp,netbios-ssn
143,tcp,imap
53,tcp,domain
135,tcp,epmap
3306,tcp,mysql
8080,tcp,http-alt
1723,tcp,pptp
111,tcp,sunrpc
995,tcp,pop3s
993,tcp,imaps
5900,tcp,rfb
1025,tcp,blackjack
587,tcp,submission
8888,tcp,ddi-tcp-1
199,tcp,smux
1720,tcp,h323q931
465,tcp,smtps
548,tcp,afpovertcp
113,tcp,ident
6001,tcp,x11
10000,tcp,ndmp
514,tcp,shell
5060,tcp,sip
179,tcp,bgp
1026,tcp,cap
2000,tcp,cisco-sccp
8443,tcp,pcsync-https
8000,tcp,irdmi
32768,tcp,filenet-tms
554,tcp,rtsp
1433,tcp,ms-sql-s
2001,tcp,dc
515,tcp,printer
8008,tcp,http-alt
5666,tcp,nrpe
646,tcp,ldp
5000,tcp,commplex-main
5631,tcp,pcanywheredata
631,tcp,ipp
8081,tcp,sunproxyadmin
2049,tcp,shilp
88,tcp,kerberos-sec
79,tcp,finger
106,tcp,3com-tsmux
2121,tcp,scientia-ssdb
1110,tcp,webadmstart
6000,tcp,X11
513,tcp,login
990,tcp,ftps
5357,tcp,wsdapi
427,tcp,svrloc
543,tcp,klogin
544,tcp,kshell
5101,tcp,talarian-tcp
144,tcp,uma
7,tcp,echo
389,tcp,ldap
8009,tcp,nvme-disc
3128,tcp,ndl-aas
444,tcp,snpp
9999,tcp,distinct
5009,tcp,winfs
7070,tcp,arcp
5190,tcp,aol
3000,tcp,hbci
5432,tcp,postgresql
1900,tcp,ssdp
3986,tcp,mapper-ws_ethd
13,tcp,daytime
1029,tcp,solid-mux
9,tcp,discard
5051,tcp,ida-agent
873,tcp,rsync
1755,tcp,ms-streaming
2717,tcp,pn-requester
4899,tcp,radmin-port
9100,tcp,hp-pdl-datastr
119,tcp,nntp
37,tcp,time
8089,tcp,Splunk management
8000,tcp,Splunk management
9997,tcp,Splunk management
514,tcp,Splunk management
8191,tcp,Splunk management
8065,tcp,Splunk management
631,udp,ipp
161,udp,snmp
137,udp,netbios-ns
123,udp,ntp
138,udp,netbios-dgm
1434,udp,ms-sql-m
445,udp,microsoft-ds
135,udp,epmap
67,udp,bootps
53,udp,domain
139,udp,netbios-ssn
500,udp,isakmp
68,udp,bootpc
520,udp,router
1900,udp,ssdp
4500,udp,ipsec-nat-t
514,udp,syslog
162,udp,snmptrap
69,udp,tftp
5353,udp,mdns
111,udp,sunrpc
1701,udp,L2TP
998,udp,puparp
996,udp,vsinet
997,udp,maitrd
999,udp,applix
3283,udp,net-assistant
1812,udp,radius
136,udp,profile
2222,udp,EtherNet-IP-1
2049,udp,nfs
32768,udp,filenet-tms
5060,udp,sip
1025,udp,blackjack
1433,udp,ms-sql-s
3456,udp,vat
80,udp,http
1026,udp,cap
7,udp,echo
1646,udp,sa-msg-port
1645,udp,sightline
593,udp,http-rpc-epmap
518,udp,ntalk
2048,udp,dls-monitor
626,udp,asia
177,udp,xdmcp
1719,udp,h323gatestat
427,udp,svrloc
497,udp,retrospect
8888,tcp,ddi-tcp-1
4444,udp,krb524
19,udp,chargen
9,udp,discard
1029,udp,solid-mux
49,udp,tacacs
88,udp,kerberos-sec
17185,udp,soundsvirtual
1718,udp,h225gatedisc
2000,udp,cisco-sccp
31337,udp,eldim
515,udp,printer
2223,udp,rockwell-csp2
443,udp,https
1813,udp,radius-acct
120,udp,cfdptkt
158,udp,pcmail-srv
3703,udp,adobeserver-3
17,udp,qotd
5000,udp,commplex-main
32771,udp,filenet-rmi
623,udp,asf-rmcp
32769,udp,filenet-rpc
5632,udp,pcanywherestat
10000,udp,ndmp
9200,udp,wap-wsp
8089,udp,Splunk management
8000,udp,Splunk management
9997,udp,Splunk management
514,udp,Splunk management
8191,udp,Splunk management
8065,udp,Splunk management
