privilege_id,privilege
SeAssignPrimaryTokenPrivilege,"Replace a process level token"
SeAuditPrivilege,"Generate security audits"
SeBackupPrivilege,"Back up files and directories"
SeChangeNotifyPrivilege,"Bypass traverse checking"
SeCreatePagefilePrivilege,"Create a pagefile"
SeCreatePermanentPrivilege,"Create permanent shared objects"
SeCreateTokenPrivilege,"Create a token object"
SeDebugPrivilege,"Debug programs"
SeEnableDelegationPrivilege,"Enable computer and user accounts to be trusted for delegation"
SeImpersonatePrivilege,"Impersonate a Client After Authentication"
SeIncreaseBasePriorityPrivilege,"Increase scheduling priority"
SeIncreaseQuotaPrivilege,"Adjust memory quotas for a process"
SeLoadDriverPrivilege,"Load and unload device drivers"
SeLockMemoryPrivilege,"Lock pages in memory"
SeMachineAccountPrivilege,"Add workstations to domain"
SeManageVolumePrivilege,"Perform volume maintenance tasks"
SeProfileSingleProcessPrivilege,"Profile single process"
SeRemoteShutdownPrivilege,"Force shutdown from a remote system"
SeRestorePrivilege,"Restore files and directories"
SeSecurityPrivilege,"Manage auditing and security log"
SeShutdownPrivilege,"Shut down the system"
SeSyncAgentPrivilege,"Synchronize directory service data"
SeSystemEnvironmentPrivilege,"Modify firmware environment values"
SeSystemProfilePrivilege,"Profile system performance"
SeSystemtimePrivilege,"Change the system time"
SeTakeOwnershipPrivilege,"Take ownership of files or other objects"
SeTcbPrivilege,"Act as part of the operating system"
SeUndockPrivilege,"Remove computer from docking station"
