EventCode,action,status
5461,modified,failure
1100,,stopped
4697,,started
5024,,started
5025,,stopped
5033,,started
5034,,stopped
5478,,started
4706,modified,success
4713,modified,success
4727,created,success
4728,modified,success
4729,modified,success
4730,deleted,success
4731,created,success
4733,modified,success
4734,deleted,success
4735,modified,success
4737,modified,success
4744,created,success
4749,created,success
4750,modified,success
4754,created,success
4755,modified,success
4756,modified,success
4757,modified,success
4758,deleted,success
4759,created,success
4764,modified,success
4794,modified,success
4799,read,success
4876,read,success
5156,allowed,success
5157,blocked,success
4798,read,success
