Name,Task,TaskCategory,EventGuid
Devices ,1,Devices,00000000-0000-0000-0000-000000000000
Disk ,2,Disk,00000000-0000-0000-0000-000000000000
Printers ,3,Printers,00000000-0000-0000-0000-000000000000
Services ,4,Services,00000000-0000-0000-0000-000000000000
Shell ,5,Shell,00000000-0000-0000-0000-000000000000
System Event ,6,System Event,00000000-0000-0000-0000-000000000000
Network ,7,Network,00000000-0000-0000-0000-000000000000
Task_UserCrash,100,Application Crashing Events,00000000-0000-0000-0000-000000000000
Task_Hang,101,Hanging Events,00000000-0000-0000-0000-000000000000
Database Repair ,8,Database Repair,00000000-0000-0000-0000-000000000000
Database Conversion ,9,Database Conversion,00000000-0000-0000-0000-000000000000
Online Defragmentation ,10,Online Defragmentation,00000000-0000-0000-0000-000000000000
System Parameter Settings ,11,System Parameter Settings,00000000-0000-0000-0000-000000000000
Database Corruption ,12,Database Corruption,00000000-0000-0000-0000-000000000000
Database Zeroing ,13,Database Zeroing,00000000-0000-0000-0000-000000000000
Transaction Manager ,14,Transaction Manager,00000000-0000-0000-0000-000000000000
Resource Failure Simulation ,15,Resource Failure Simulation,00000000-0000-0000-0000-000000000000
ShadowCopy ,16,ShadowCopy,00000000-0000-0000-0000-000000000000
UfsScanFileTask,17,,08a8495f-8d8f-476c-a083-e26e8eabb1b7
UfsScanProcTask,18,,6f031e9a-9195-42fe-b149-4b02b31bf05d
SenseOnboardingInfoTask,19,,46617335-4f57-402d-b957-d1b55c95a775
EngineLoadTask,20,,7f2f8f1a-0c3e-4091-9743-ef3ec84bdeb0
DlpPerfOperation,21,,107a2be9-5c4c-433c-b97f-b9100ae83f5f
DCEvent,22,,4510012b-aecf-4db6-b0bf-e9347fa5b94c
RTPFileScanResult,23,,eb4232ea-6379-422b-aa7a-94cac90148ac
Spynet_EventSpynetRequired,24,,c6b43d16-0b63-44e1-9fd5-d29c6cda90e9
Spynet_EventCloudRequest,25,,b18f770a-83ae-4807-ae51-06d4a27fbf71
Spynet_EventSendTelemetry,26,,3e6d25ab-8bb3-4d6f-b2b7-47673382c55d
Spynet_MpCmdRunStart,27,,6e2e0e7c-3702-4f8c-b2aa-0941120fb025
Spynet_GenerateReportStart,28,,08d058c6-226a-4e7e-925f-3b6c2027448e
Spynet_GenerateReportComplete,29,,9b439dd8-db34-4ebf-b11f-40925f723fdd
Spynet_HandleResponseStart,30,,f9f0f8a6-8732-4414-98e6-9f870d0a7b10
Spynet_HandleResponseComplete,31,,fc524ec4-f03c-4182-a556-a816c6b37895
Spynet_SendReportStart,32,,d2ec2c24-e0a4-47b3-b777-b3cd8e65defe
Spynet_SendReportComplete,33,,c9ff11d6-95d6-4d17-8d49-2a6de248d96b
MpCmdRun_CreateProcess,34,,d6ad8781-44b7-41cd-890c-9762b53c3714
Spynet_MpCmdRunCreateTimer,35,,533f0835-145f-429c-ac51-459a0e46cf54
Spynet_MpCmdRunTimerTrigger,36,,6d1edd32-3ca2-4958-ba77-5edd7fb9bb3b
IOAVScanTriggered,37,,8f2e98ae-df1a-4f53-a580-4b1441b8bfbb
Sense_RemediationInfoThreat,38,,2c36db2a-a39b-4a9b-8e23-321ee163c57e
Sense_HipsFGInfo,39,,c452a803-8378-4da1-b495-b6630bec649a
Sense_NetworkFilterLookup,40,,3434a803-8348-34a1-b345-34630bec3434
Sense_NetworkFilterConnectionInfo,41,,7ac24ce5-7284-4429-9ed1-d8ce2f7296e7
Sense_DlpInfo,42,,ff6a1ea6-49e6-4d61-a4af-be6047461795
Sense_DlpEventInfo,43,,6a0dc6d8-05e1-4ea5-b9a5-b789238ddc99
Sense_DlpStatusInfo,44,,f07136b9-28c6-4856-984c-8460e4f69dc7
Sense_NetworkFilterBreakTheGlass,45,,37a766da-53a7-4d12-b452-dd98a3dd64ce
Sense_HipsAsrUserExclusionInfo,46,,3567d4a1-1429-4fac-a035-0694069f7ae1
Sense_NetworkFilterDnsQuestion,47,,6d20b44b-9bf9-48d7-98c3-d303ba92d476
